A99#//#2070#//#Ayhm Ibrahim#//#0569112070#//#5300.000000
A100#//#1512#//#Matab#//#05964872#//#6000.000000
A101#//#1234#//#Mohamed Ali#//#0569112001#//#4500.000000
A102#//#2345#//#Ahmed Hassan#//#0558823345#//#3200.500000
A103#//#3456#//#Omar Khaled#//#0591123456#//#7800.000000
A104#//#4567#//#Yousef Abdullah#//#0509988776#//#1500.750000
A105#//#5678#//#Abdulrahman Saeed#//#0567744112#//#9900.000000
A106#//#6789#//#Fahad Mohammed#//#0588123490#//#6100.250000
A107#//#7890#//#Saad Nasser#//#0544432211#//#4300.000000
A108#//#8901#//#Khaled Ibrahim#//#0577123988#//#2750.600000
A109#//#9012#//#Nawaf Ali#//#0533322110#//#8200.000000
A110#//#1122#//#Turki Salman#//#0566001122#//#5100.900000
A111#//#2233#//#Majed Farhan#//#0555007788#//#3000.000000
A112#//#3344#//#Sami Jaber#//#0501239876#//#4700.450000
A113#//#4455#//#Rami Saleh#//#0588899001#//#6600.000000
A114#//#5566#//#Hamad Saif#//#0543216789#//#1200.300000
A115#//#6677#//#Zaid Mansour#//#0567788990#//#8400.000000
A116#//#7788#//#Bader Fahmi#//#0570099887#//#3900.000000
A117#//#8899#//#Tariq Omar#//#0556677889#//#7100.000000
A201#//#4321#//#Mohammed Ali#//#0559011122#//#7500.500000
A202#//#9834#//#Ahmed Hassan#//#0567723345#//#6200.000000
A203#//#1209#//#Omar Khaled#//#0591122003#//#9800.250000
A204#//#5561#//#Yousef Abdullah#//#0509988123#//#3100.000000
A205#//#7742#//#Abdulrahman Saeed#//#0567744001#//#15400.750000
A206#//#6612#//#Fahad Mohammed#//#0588123099#//#8450.000000
A207#//#8891#//#Saad Nasser#//#0544432110#//#4300.600000
A208#//#9912#//#Khaled Ibrahim#//#0577123008#//#2750.000000
A209#//#3145#//#Nawaf Ali#//#0533322001#//#10200.000000
A210#//#7789#//#Turki Salman#//#0566001199#//#5100.900000
A211#//#2231#//#Majed Farhan#//#0555007008#//#3000.000000
A212#//#9901#//#Sami Jaber#//#0501239001#//#4700.450000
A213#//#4452#//#Rami Saleh#//#0588899002#//#6600.000000
A214#//#5563#//#Hamad Saif#//#0543216009#//#1200.300000
A215#//#6674#//#Zaid Mansour#//#0567788001#//#8400.000000
A216#//#7785#//#Bader Fahmi#//#0570099000#//#3900.000000
A217#//#8896#//#Tariq Omar#//#0556677001#//#7100.000000
A218#//#9907#//#Faisal Ghamdi#//#0561234509#//#5600.000000
A219#//#1118#//#Sultan Harbi#//#0509987002#//#2200.000000
A220#//#2229#//#Mishari Zahrani#//#0532109876#//#9300.800000
